name,slug,landing,id,lzId,lzEndpoint,create3Deployer,defiLlamaId,httpRpcs,wsRpcs,explorers,explorerApi
Neon EVM,neon-evm-mainnet,https://neonevm.org,245022934,0,,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Neon,"[""https://neon-proxy-mainnet.solana.p2p.org"", ""https://rpc.mantle.xyz""]",[],"[""https://neonscan.org""]",
Neon EVM Testnet,neon-evm-testnet,https://neonevm.org,245022940,0,,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://testnet.neonevm.org""]",[],"[""https://devnet.neonscan.org""]",
Syscoin,syscoin-mainnet,https://syscoin.org,57,0,,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Syscoin,"[""https://rpc.syscoin.org"", ""https://rpc.ankr.com/syscoin"", ""https://syscoin.public-rpc.com""]","[""wss://rpc.syscoin.org/wss""]","[""https://explorer.syscoin.org""]",
Syscoin Testnet,syscoin-testnet,https://syscoin.org,5700,0,,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://rpc.tanenbaum.io"", ""https://syscoin-tanenbaum-evm.publicnode.com""]","[""wss://rpc.tanenbaum.io/wss""]","[""https://tanenbaum.io""]",
Rollux,rollux-mainnet,https://rollux.com,570,0,,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Rollux,"[""https://rpc.rollux.com"", ""https://rpc.ankr.com/rollux"", ""https://rollux.public-rpc.com""]","[""wss://rpc.rollux.com/wss""]","[""https://explorer.rollux.com""]",
Rollux Testnet,rollux-testnet,https://rollux.com,57000,0,,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://rpc-tanenbaum.rollux.com"", ""https://rpc.ankr.com/rollux_testnet""]","[""wss://rpc-tanenbaum.rollux.com/wss""]","[""https://rollux.tanenbaum.io""]",
Rootstock,rootstock-mainnet,https://rootstock.io,30,0,,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Rootstock,"[""https://public-node.rsk.co"", ""https://mycrypto.rsk.co""]",[],"[""https://explorer.rsk.co"", ""https://blockscout.com/rsk/mainnet""]",
Mode,mode-mainnet,https://www.mode.network,34443,30260,0x1a44076050125825900e736c501f859c50fE728c,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://mainnet.mode.network"", ""https://mode.drpc.org""]","[""wss://mode.drpc.org""]","[""https://explorer.testnet.rsk.co""]",
Mode Testnet,mode-testnet,https://www.mode.network,919,40260,0x6EDCE65403992e310A62460808c4b910D972f10f,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://sepolia.mode.network""]",[],"[""https://sepolia.explorer.mode.network""]",
Blast,blast-mainnet,https://blast.io,81457,243,0xb6319cC6c8c27A8F5dAF0dD3DF91EA35C4720dd7,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,Blast,"[""https://rpc.blast.io"", ""https://rpc.ankr.com/blast""]",[],"[""https://blastscan.io""]",
Blast Testnet,blast-testnet,https://blast.io,168587773,10243,0x2cA20802fd1Fd9649bA8Aa7E50F0C82b479f35fe,0xba5Ed099633D3B313e4D5F7bdc1305d3c28ba5Ed,,"[""https://sepolia.blast.io"", ""https://blast-sepolia.blockpi.network/v1/rpc/public"", ""https://blast-sepolia.drpc.org""]","[""wss://blast-sepolia.drpc.org""]","[""https://testnet.blastscan.io""]",
